Tanımlayıcı;Seviye;Sınıflar;Standart;Açıklama;Kavram;Alt_Kavram;Uygulama;Alt Uygulama-1;Alt Uygulama-2;Alt Uygulama-3
1B-AP-14;1B;3-5;Programlar oluştururken veya yeniden düzenlerken (remix) fikri mülkiyet haklarına uyun ve uygun atıfta bulunun.;Fikri mülkiyet hakları ülkeye göre değişebilir ancak telif hakkı yasaları, bir eserin yaratıcısına, başkalarının eseri kopyalamasını ve hoşlarına gitmeyebilecek şekillerde kullanmasını engelleyen bir dizi hak verir. Öğrenciler, fikirlerin ödünç alındığı ve tekrarlandığı yeniden düzenleme (remix) örneklerini belirlemeli ve asıl yaratıcıya atıfta bulunmalıdır. Öğrenciler ayrıca internetten indirilen resimler ve müzik gibi bilişimsel eserlerin kullanımına sınırlamalar veya kısıtlamalar getiren yaygın lisansları da göz önünde bulundurmalıdır. Bu aşamada, atıf öğretmen tarafından istenen biçimde yazılmalı ve her zaman çevrimiçi paylaşılan programlara dahil edilmelidir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserler Yaratmak, Bilişim Hakkında İletişim Kurmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;
1B-AP-15;1B;3-5;Amacına uygun çalıştığından emin olmak için bir programı veya algoritmayı test edin ve hataları ayıklayın (hataları belirleyin ve düzeltin).;Öğrenciler programlar geliştirirken, bekleneni yapıp yapmadıklarını görmek için bu programları sürekli olarak test etmeli ve hataları düzeltmelidir (hata ayıklama). Öğrenciler ayrıca başkaları tarafından oluşturulan programlardaki basit hataları da başarıyla ayıklayabilmelidir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.1 – Tüm senaryoları ve test durumlarını dikkate alarak sistematik test yapma;P6.2 – Hataları sistematik biçimde belirleme ve düzeltme;
1B-AP-16;1B;3-5;Program geliştirmenin tasarım, uygulama ve inceleme aşamalarında akranlarla işbirliği yaparken öğretmen rehberliğinde değişen rolleri üstlenin.;İşbirlikçi bilişim, çiftler veya takımlar halinde çalışarak bilişimsel bir görevi yerine getirme sürecidir. Başkalarının katkılarını ve geri bildirimlerini istemeyi içerdiği için etkili işbirliği, bağımsız çalışmaktan daha iyi sonuçlara yol açabilir. Öğrenciler, program geliştirme sırasında not tutan, kolaylaştırıcı, program test edici veya bilgisayarın 'sürücüsü' gibi farklı rollerde sırayla çalışmalıdır.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Etrafında İşbirliği Yapmak;P2.2 – Ekip normları, beklentiler ve adil görev paylaşımı oluşturma;;
1B-AP-17;1B;3-5;Kod yorumları, sunumlar ve gösterimler kullanarak program geliştirme sırasında yapılan seçimleri açıklayın.;İnsanlar, başkalarının programlarını anlamalarına ve kullanmalarına yardımcı olmak için kodları hakkında iletişim kurarlar. Tasarım seçimlerini iletmenin bir başka amacı da kişinin kendi çalışmasını anladığını göstermesidir. Bu açıklamalar, ortak çalışanlar ve değerlendiriciler için satır içi kod yorumları olarak veya kod gözden geçirme (walk-through) veya kodlama günlüğü gibi özetleyici bir sunumun parçası olarak ortaya çıkabilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
1B-IC-18;1B;3-5;Dünyayı değiştiren bilişim teknolojilerini tartışın ve bu teknolojilerin kültürel uygulamaları nasıl etkilediğini ve onlardan nasıl etkilendiğini ifade edin.;"Yeni bilişim teknolojisi, faydalarını artırmak, risklerini azaltmak ve toplumsal ihtiyaçları karşılamak gibi birçok nedenden dolayı yaratılır ve mevcut teknolojiler değiştirilir. Öğrenciler, öğretmenlerinin rehberliğinde, teknolojinin tarihine ve teknoloji nedeniyle dünyadaki değişikliklere ilişkin konuları tartışmalıdır. Konular; robotik, kablosuz İnternet, mobil bilişim cihazları, GPS sistemleri, giyilebilir teknoloji veya sosyal medyanın sosyal ve politik değişiklikleri nasıl etkilediği gibi güncel haber içeriklerine dayanabilir.";Bilişimin Etkileri;Kültür;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.1 – Hesaplamalı olarak çözülebilecek karmaşık ve gerçek dünya problemlerini belirleme;;
1B-IC-19;1B;3-5;Kullanıcıların çeşitli ihtiyaç ve istekleri için teknoloji ürünlerinin erişilebilirliğini ve kullanılabilirliğini iyileştirmenin yolları hakkında beyin fırtınası yapın.;Bilişim teknolojisinin geliştirilmesi ve değiştirilmesi insanların ihtiyaçları ve istekleri tarafından yönlendirilir ve grupları farklı şekilde etkileyebilir. Farklı son kullanıcıların ihtiyaç ve isteklerini öngörmek, öğrencilerin farklı geçmişlere, yetenek seviyelerine, bakış açılarına ve engellere sahip kullanıcıların potansiyel bakış açılarını amaçlı olarak dikkate almalarını gerektirir. Örneğin öğrenciler bir oyunda bilgi aktarmak istediklerinde hem konuşma hem de metin kullanmayı düşünebilirler. Ayrıca herkesin kendi zevklerini paylaşmadığını bilerek oluşturdukları program türlerini de çeşitlendirmek isteyebilirler.;Bilişimin Etkileri;Kültür;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;P1.2 – Farklı kullanıcı ihtiyaçlarını dikkate alarak erişilebilir ve kullanılabilir ürün tasarlama;;
1B-IC-20;1B;3-5;Bilişimsel eserleri geliştirmek amacıyla farklı bakış açıları arayın.;Bilişim, fikirlerin paylaşılması ve işbirliği yapılması olasılığını sağlar ve farklı bakış açılarından faydalanmaya olanak tanır. Örneğin öğrenciler, sınıflarındaki diğer gruplardan veya başka bir sınıf seviyesindeki öğrencilerden geri bildirim isteyebilirler. Veya öğretmenlerinin rehberliğinde programlama projeleri hakkında bireylerden ve gruplardan geri bildirim toplamak için video konferans araçlarını veya bloglar, wikiler, forumlar veya web sitesi yorumları gibi diğer çevrimiçi ortak çalışma alanlarını kullanabilirler.;Bilişimin Etkileri;Sosyal Etkileşimler;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;P1.1 – Farklı bakış açılarını dahil etme ve kendi bakış açısını değerlendirme;;
1B-IC-21;1B;3-5;Kamu malı veya creative commons (yaratıcı ortaklık) medyası kullanın ve başkaları tarafından oluşturulan materyalleri izinsiz kopyalamaktan veya kullanmaktan kaçının.;Etik komplikasyonlar bilişimin sağladığı fırsatlardan kaynaklanır. İnternette video, fotoğraf ve müzik gibi medyanın kopyalarını gönderme ve alma kolaylığı, çevrimiçi korsanlık gibi yetkisiz kullanım ve telif haklarının hiçe sayılması fırsatını yaratır. Öğrenciler, kullanmak istedikleri bilişimsel eserlerin lisanslarını dikkate almalıdır. Örneğin indirilen bir resim veya ses dosyasının lisansı, değiştirmeyi yasaklayan, atıfta bulunmayı gerektiren veya kullanımı tamamen yasaklayan kısıtlamalara sahip olabilir.;Bilişimin Etkileri;Güvenlik Hukuk ve Etik;Bilişim Hakkında İletişim Kurmak;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;;
2-CS-01;2;6-8;Kullanıcıların cihazlarla nasıl etkileşime girdiğine dair bir analize dayanarak bilişim cihazlarının tasarımında iyileştirmeler önerin.;İnsan-bilgisayar etkileşimi (HCI) çalışması hem donanım hem de yazılım dahil olmak üzere cihazların tasarımını iyileştirebilir. Öğrenciler mevcut cihazlar (örneğin dizüstü bilgisayar, telefon veya tablet) için önerilerde bulunmalı veya kendi bileşenlerini veya arayüzlerini tasarlamalıdır (örneğin kendi kontrollerini oluşturmalıdır). Öğretmenler, erişilebilirlik, ergonomi ve öğrenilebilirlik gibi çeşitli açılardan kullanılabilirliği dikkate almaları için öğrencilere rehberlik edebilir. Örneğin yardımcı cihazlar yazılı bilgileri tarama ve konuşmaya dönüştürme gibi yetenekler sağlar.;Bilişim Sistemleri;Cihazlar;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.3 – Bir problemin bilgisayar/teknoloji ile çözülmesinin uygun ve uygulanabilir olup olmadığını değerlendirme;;
2-CS-02;2;6-8;Veri toplamak ve değiş tokuş etmek için donanım ve yazılım bileşenlerini birleştiren projeler tasarlayın.;Verilerin toplanması ve değiş tokuşu girdi, çıktı, depolama ve işlemeyi içerir. Öğrenciler mümkün olduğunda proje tasarımları için işlevsellik, maliyet, boyut, hız, erişilebilirlik ve estetik gibi faktörleri göz önünde bulundurarak donanım ve yazılım bileşenlerini seçmelidir. Örneğin bir mobil uygulama için bileşenler ivmeölçer, GPS ve konuşma tanıma içerebilir. Kablosuz bir Bluetooth bağlantısı ile fiziksel bir USB bağlantısı üzerinden bağlanan bir cihaz seçimi, mobilite ile kablosuz cihaz için ek bir güç kaynağı ihtiyacı arasında bir ödünleşimi (trade-off) içerir.;Bilişim Sistemleri;Donanım ve Yazılım;Bilişimsel Eserler Yaratmak;P5.1 – Dijital ürün geliştirmeyi yinelemeli bir süreçle planlama;;
2-CS-03;2;6-8;Bilişim cihazları ve bileşenleriyle ilgili sorunları sistematik olarak belirleyin ve düzeltin.;Bir bilişim cihazı bir sistem içindeki birbirine bağlı cihazlarla etkileşime girebileceğinden, sorunlar söz konusu bilişim cihazının kendisinden değil, ona bağlı cihazlardan kaynaklanabilir. Pilotların uçak sistemlerindeki sorunları gidermek için kontrol listeleri kullanması gibi, öğrenciler de bilişim sistemleriyle ilgili sorunları gidermek ve potansiyel çözümlerin gözden kaçmadığından emin olmak için benzer, yapılandırılmış bir süreç kullanmalıdır. Sorun giderme stratejilerine örnek olarak bir sorun giderme akış şemasını izlemek, donanımın çalışıp çalışmayacağını görmek için yazılımda değişiklikler yapmak, bağlantıları ve ayarları kontrol etmek ve çalışan bileşenlerle değiştirmek verilebilir.;Bilişim Sistemleri;Sorun Giderme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.2 – Hataları sistematik biçimde belirleme ve düzeltme;;
2-NI-04;2;6-8;Ağlar ve İnternet üzerinden veri iletiminde protokollerin rolünü modelleyin.;Protokoller, bilgisayarlar arasındaki mesajların nasıl gönderileceğini tanımlayan kurallardır. Bilgilerin ağlar ve İnternet üzerinden ne kadar hızlı ve güvenli bir şekilde iletildiğini ve iletimdeki hataların nasıl ele alınacağını belirlerler. Öğrenciler en hızlı yolu seçmek, eksik bilgileri ele almak ve hassas verileri güvenli bir şekilde teslim etmek için protokoller kullanılarak verilerin nasıl gönderildiğini modellemelidir. Örneğin öğrenciler, kaybolan bilgileri yeniden göndermek veya eksik parçaları olan bir resmi yorumlamak için bir plan tasarlayabilirler. Bu sınıf seviyesindeki öncelik, protokollerin amacını ve güvenli ve hatasız iletişimi nasıl sağladıklarını anlamaktır. Belirli protokollerin nasıl çalıştığına dair detaylı bilgi beklenmemektedir.;Ağlar ve İnternet;Ağ İletişimi ve Organizasyon;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
2-NI-05;2;6-8;Fiziksel ve dijital güvenlik önlemlerinin elektronik bilgileri nasıl koruduğunu açıklayın.;Çevrimiçi depolanan bilgiler istenmeyen erişime karşı savunmasızdır. Verileri korumaya yönelik fiziksel güvenlik önlemlerine örnek olarak şifreleri gizli tutmak, kapıları kilitlemek, harici depolama aygıtlarında yedek kopyalar almak ve yeniden kullanılmadan önce bir depolama aygıtını silmek verilebilir. Dijital güvenlik önlemlerine örnek olarak güvenli yönlendirici (router) yönetici şifreleri, özel ağlara erişimi sınırlayan güvenlik duvarları ve güvenli veri iletimi sağlamak için HTTPS gibi bir protokolün kullanılması verilebilir.;Ağlar ve İnternet;Siber Güvenlik;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
2-NI-06;2;6-8;Bilgilerin güvenli iletimini modellemek için birden fazla şifreleme yöntemi uygulayın.;Şifreleme, harf değiştirme kadar basit veya ağları ve İnternet'i güvence altına almak için kullanılan modern yöntemler kadar karmaşık olabilir. Öğrenciler çeşitli şifreleme yöntemlerini kullanarak mesajları kodlamalı ve kodlarını çözmeli ve bilgileri gizlemek veya güvence altına almak için kullanılan farklı karmaşıklık düzeylerini anlamalıdır. Örneğin öğrenciler Caesar şifreleri veya steganografi (yani mesajları bir resmin veya diğer verilerin içine saklamak) gibi yöntemler kullanarak mesajları güvence altına alabilirler. Ayrıca bilgisayarsız (unplugged) etkinlikler aracılığıyla genel anahtar şifrelemesi gibi daha karmaşık yöntemleri de modelleyebilirler.;Ağlar ve İnternet;Siber Güvenlik;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
2-DA-07;2;6-8;Verileri çoklu kodlama şemaları kullanarak temsil edin.;Veri temsilleri, bitlerin fiziksel olarak depolanmasından bilgilerin düzenli formatlarda (örneğin tablolar) düzenlenmesine kadar birden fazla soyutlama seviyesinde gerçekleşir. Öğrenciler aynı veriyi birden fazla yolla temsil etmelidir. Örneğin öğrenciler aynı rengi ikili (binary), RGB değerleri, onaltılık (hex) kodlar (düşük seviyeli temsiller) kullanarak, ayrıca kelimeler, semboller ve rengin dijital görüntüleri dahil olmak üzere insanların anlayabileceği formlarda (yüksek seviyeli temsiller) temsil edebilirler.;Veri ve Analiz;Depolama;Soyutlamalar Geliştirmek ve Kullanmak;P4 – Soyutlama ve modelleme yaparak karmaşıklığı azaltma;;
2-DA-08;2;6-8;Bilişimsel araçları kullanarak veri toplayın ve verileri daha kullanışlı ve güvenilir hale getirmek için dönüştürün.;Öğrenciler bir iddiayı desteklemek için verileri organize etme ve görsel olarak sunma yeteneklerini geliştirmeye devam ettikçe, verileri bu amaçla ne zaman ve nasıl dönüştüreceklerini anlamaları gerekecektir. Öğrenciler, hataları gidermek, ilişkileri vurgulamak veya ortaya çıkarmak ve/veya bilgisayarların işlemesini kolaylaştırmak için verileri dönüştürmelidir. Verilerin temizlenmesi, tutarlı format sağlamak, gürültü ve hataları azaltmak (örneğin bir anketteki alakasız yanıtları kaldırmak) için önemli bir dönüşümdür. Bir ilişkiyi vurgulayan bir dönüşüm örneği, erkekleri ve kadınları bireysel sayılar yerine bir bütünün yüzdeleri olarak temsil etmektir.;Veri ve Analiz;Toplama Görselleştirme ve Dönüştürme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.3 – Performans, güvenilirlik, kullanılabilirlik ve erişilebilirliği artırmak için ürünü iyileştirme;;
2-DA-09;2;6-8;Bilişimsel modelleri ürettikleri verilere dayanarak geliştirin.;Bir model, olayların programlanmış bir simülasyonu veya çeşitli verilerin birbiriyle nasıl ilişkili olduğunun bir temsili olabilir. Bir modeli geliştirmek için öğrencilerin hangi veri noktalarının ilgili olduğunu, veri noktalarının birbirleriyle nasıl ilişkili olduğunu ve verilerin doğru olup olmadığını düşünmeleri gerekir. Örneğin öğrenciler bir yolun yüksekliği ve açısıyla ilgili bir veri tablosuna dayanarak bir topun ne kadar uzağa gideceği hakkında bir tahminde bulunabilirler. Öğrenciler daha sonra tahmin edilen sonuçlarla gerçek sonuçları karşılaştırarak ve diğer faktörlerin (örneğin topun boyutu ve kütlesi) ilgili olup olmadığını düşünerek modellerini test edebilir ve geliştirebilirler. Ek olarak öğrenciler, oyunu daha dengeli veya adil hale getirmek için test sonuçlarına dayanarak oyun mekaniğini geliştirebilirler.;Veri ve Analiz;Çıkarım ve Modeller;Bilişimsel Eserler Yaratmak, Soyutlamalar Geliştirmek ve Kullanmak;P5.3 – Mevcut bir dijital ürünü iyileştirme veya özelleştirme;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;
2-AP-10;2;6-8;Karmaşık sorunları algoritmalar olarak ele almak için akış şemaları ve/veya sözde kod (pseudocode) kullanın.;Karmaşık sorunlar, öğrencilerin bilişimsel olarak çözmesi zor olan sorunlardır. Öğrenciler çözümleri fiilen programlamasalar bile, karmaşık bir sorunu ele alan bir algoritmayı düzenlemek ve sıralamak için sözde kod ve/veya akış şemaları kullanmalıdır. Örneğin öğrenciler boyut, renkler, marka, konfor ve maliyet gibi girdilere dayanarak spor ayakkabı satın almak için bir öneri üreten bir algoritma ifade edebilirler. Algoritmayı çok çeşitli girdiler ve kullanıcılarla test etmek, öğrencilerin öneri algoritmalarını geliştirmelerine ve başlangıçta hariç tutmuş olabilecekleri diğer girdileri belirlemelerine olanak tanır.;Algoritmalar ve Programlama;Algoritmalar;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;
2-AP-11;2;6-8;Farklı veri türlerini temsil eden açıkça adlandırılmış değişkenler oluşturun ve değerleri üzerinde işlemler gerçekleştirin.;Bir değişken, içeriği değişebilen ancak adı (tanımlayıcı) değişmeyen adı olan bir kaba benzer. Programları planlarken ve geliştirirken, öğrenciler ne zaman ve nasıl yeni değişkenler bildireceklerine ve adlandıracaklarına karar vermelidir. Öğrenciler programın okunabilirliğini artırmak için adlandırma kurallarını kullanmalıdır. İşlem örnekleri arasında puana puan eklemek, bir cümle oluşturmak için kullanıcı girdisini kelimelerle birleştirmek, bir resmin boyutunu değiştirmek veya bir kişi listesine bir ad eklemek yer alır.;Algoritmalar ve Programlama;Değişkenler;Bilişimsel Eserler Yaratmak;P5.1 – Dijital ürün geliştirmeyi yinelemeli bir süreçle planlama;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;
2-AP-12;2;6-8;İç içe döngüler ve bileşik koşullar dahil olmak üzere kontrol yapılarını birleştiren programlar tasarlayın ve yinelemeli olarak geliştirin.;Kontrol yapıları birçok şekilde birleştirilebilir. İç içe döngüler, döngülerin içine yerleştirilmiş döngülerdir. Bileşik koşullar, mantıksal bir ilişkide (örneğin, VE, VEYA ve DEĞİL kullanarak) iki veya daha fazla koşulu birleştirir ve koşulları birbiri içine yerleştirmek, bir koşulun sonucunun diğerine yol açmasını sağlar. Örneğin, etkileşimli bir hikaye programlarken öğrenciler bir karakterin bir anahtarı varsa VE kapıya dokunuyorsa kapının kilidini açmak için bir döngü içinde bileşik bir koşul kullanabilirler.;Algoritmalar ve Programlama;Kontrol;Bilişimsel Eserler Yaratmak;P5.1 – Dijital ürün geliştirmeyi yinelemeli bir süreçle planlama;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;
2-AP-13;2;6-8;Programların tasarımını, uygulanmasını ve incelenmesini kolaylaştırmak için sorunları ve alt sorunları parçalara ayırın.;Öğrenciler sorunları alt sorunlara ayırmalıdır, bu alt sorunlar da daha küçük parçalara ayrılabilir. Ayrıştırma, öğrencilerin her seferinde tek bir parçaya (örneğin kullanıcıdan girdi alma, verileri işleme ve sonucu kullanıcıya gösterme) odaklanmasını sağlayarak program geliştirmenin yönlerini kolaylaştırır. Ayrıştırma ayrıca farklı öğrencilerin aynı anda farklı parçalar üzerinde çalışmasına olanak tanır. Örneğin animasyonlar, bağımsız olarak geliştirilebilen birden fazla sahneye ayrılabilir.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.2 – Karmaşık problemleri yönetilebilir alt problemlere ayırma;;
2-AP-14;2;6-8;Kodu düzenlemek ve yeniden kullanımını kolaylaştırmak için parametreleri olan prosedürler oluşturun.;"Öğrenciler talimat gruplarını tekrarlamak için bir program içinde birden çok kez kullanılan prosedürler ve/veya işlevler oluşturmalıdır. Bu prosedürler, geniş bir girdi yelpazesi için farklı çıktılar yaratan parametreler tanımlanarak genelleştirilebilir. Örneğin, bir daire çizme prosedürü birçok talimat içerir, ancak hepsi ""drawCircle"" gibi tek bir talimatla çağrılabilir. Bir yarıçap parametresi ekleyerek, kullanıcı kolayca farklı boyutlarda daireler çizebilir.";Algoritmalar ve Programlama;Modülerlik;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;P4.3 – Farklı durumlarda kullanılabilecek modüller ve etkileşim noktaları geliştirme;
2-AP-15;2;6-8;Kullanıcı ihtiyaçlarını karşılayan bir çözümü geliştirmek için ekip üyelerinden ve kullanıcılardan geri bildirim isteyin ve bunları dahil edin.;Kullanıcı merkezli tasarım uygulayan geliştirme ekipleri, konuşma güçlüğü çeken kişilerin anlaşılması zor telaffuzları anlaşılır bir dile çevirmesine olanak tanıyan bir uygulama gibi, toplumsal etkisi büyük olabilecek çözümler (örneğin programlar ve cihazlar) yaratırlar. Öğrenciler, bilişimsel eserlerini geliştirmek için tasarım süreci boyunca farklı bakış açıları aramaya başlamalıdır. Son kullanıcının düşünceleri arasında kullanılabilirlik, erişilebilirlik, yaşa uygun içerik, saygılı dil, kullanıcı perspektifi, zamir kullanımı, renk kontrastı ve kullanım kolaylığı yer alabilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Etrafında İşbirliği Yapmak, Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;P2.3 – Geri bildirim isteme, kullanma ve yapıcı geri bildirim verme;P1.1 – Farklı bakış açılarını dahil etme ve kendi bakış açısını değerlendirme;
2-AP-16;2;6-8;Mevcut kodları, medyayı ve kütüphaneleri orijinal programlara dahil edin ve atıfta bulunun.;Başkalarının çalışmaları üzerine inşa etmek, öğrencilerin daha ilginç ve güçlü yaratımlar üretmesini sağlar. Öğrenciler kod, algoritma ve/veya dijital medyanın bölümlerini kendi programlarında ve web sitelerinde kullanmalıdır. Bu seviyede, kütüphaneleri de içe aktarabilir ve web uygulama programı arayüzlerine (API'ler) bağlanabilirler. Örneğin öğrenciler yana kaydırmalı (side-scrolling) bir oyun yaratırken, başka bir kişinin oyunundan gerçekçi bir atlama hareketi yaratan kod bölümlerini dahil edebilir ve arka planda kullanmak için Creative Commons lisanslı resimleri de içe aktarabilirler. Öğrenciler, katkılarını kabul etmek için orijinal yaratıcılara atıfta bulunmalıdır.;Algoritmalar ve Programlama;Program Geliştirme;Soyutlamalar Geliştirmek ve Kullanmak, Bilişimsel Eserler Yaratmak, Bilişim Hakkında İletişim Kurmak;P4.2 – Mevcut teknolojik işlevleri değerlendirip yeni tasarımlara dahil etme;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme
2-AP-17;2;6-8;Bir dizi test senaryosu kullanarak programları sistematik olarak test edin ve iyileştirin.;Kullanıcıların ihtiyaçlarını daha iyi karşılamak ve programların amaçlandığı gibi işleyip işlemediğini değerlendirmek için kullanım senaryoları ve test senaryoları oluşturulur ve analiz edilir. Bu düzeyde test etme, daha düşük düzeylerdekinden daha yinelemeli, sistematik ve proaktif olan kasıtlı bir süreç haline gelmelidir. Öğrenciler, kullanıcının geçersiz girdi girmesi durumunda ne olacağı (örneğin pozitif sayılar yerine negatif sayılar ve 0) gibi olası hataları göz önünde bulundurarak programları test etmeye başlamalıdır.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.1 – Tüm senaryoları ve test durumlarını dikkate alarak sistematik test yapma;;
2-AP-18;2;6-8;Bilişimsel eserleri ortaklaşa geliştirirken görevleri dağıtın ve proje zaman çizelgesini koruyun.;İşbirliği, programlama geliştirmede yaygın ve çok önemli bir uygulamadır. Genellikle birçok kişi ve grup bir projenin birbirine bağlı parçaları üzerinde birlikte çalışır. Öğrenciler takımları içinde önceden tanımlanmış rolleri üstlenmeli ve yapılandırılmış zaman çizelgeleri kullanarak proje iş akışını yönetmelidir. Öğretmen rehberliği ile ortak hedefler, beklentiler ve adil iş yükleri oluşturmaya başlayacaklardır. Örneğin öğrenciler, bir oyunun tasarım aşamasını hikaye panosunu planlamak, akış şeması ve oyun mekaniğinin farklı bölümlerine ayırabilir. Daha sonra görevleri ve rolleri takım üyeleri arasında dağıtabilir ve teslim tarihleri belirleyebilirler.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Etrafında İşbirliği Yapmak;P2.2 – Ekip normları, beklentiler ve adil görev paylaşımı oluşturma;;
2-AP-19;2;6-8;Programları izlemeyi, test etmeyi ve hatalarını ayıklamayı kolaylaştırmak için belgeleyin.;Belgeleme, yaratıcıların ve başkalarının bir programı daha kolay kullanmasına ve anlamasına olanak tanır. Öğrenciler, son kullanıcılar için eserlerini ve bunların nasıl çalıştığını açıklayan belgeler sağlamalıdır. Örneğin, öğrenciler projeye genel bir bakış ve net kullanıcı talimatları sunabilirler. Ayrıca ürünlerine yorumlar eklemeli ve süreçlerini tasarım belgeleri, akış şemaları ve sunumlar kullanarak iletmelidirler.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
2-IC-20;2;6-8;İnsanların günlük faaliyetlerini ve kariyer seçeneklerini etkileyen bilişim teknolojileriyle ilişkili ödünleşimleri (trade-off) karşılaştırın.;Bilgisayar teknolojisindeki ilerlemeler ne tamamen olumlu ne de olumsuzdur. Ancak, insanların bilişim teknolojilerini kullanma biçimlerinin ödünleşimleri vardır. Öğrenciler mahremiyet, iletişim ve otomasyon gibi geniş fikirlerle ilgili güncel olayları dikkate almalıdır. Örneğin sürücüsüz arabalar rahatlığı artırabilir ve kazaları azaltabilir, ancak aynı zamanda bilgisayar korsanlığına (hacking) karşı hassastırlar. Gelişmekte olan bu sektör taksi ve paylaşımlı araç sürücülerinin sayısını azaltacak ancak daha fazla yazılım mühendisliği ve siber güvenlik işi yaratacaktır.;Bilişimin Etkileri;Kültür;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
2-IC-21;2;6-8;Mevcut teknolojilerin tasarımındaki önyargı ve erişilebilirlik sorunlarını tartışın.;Öğrenciler çeşitli teknoloji araçlarının (örneğin uygulamalar, oyunlar ve cihazlar) kullanılabilirliğini öğretmen rehberliğinde test etmeli ve tartışmalıdır. Örneğin daha açık cilt tonları için daha iyi çalışan yüz tanıma yazılımı, muhtemelen homojen bir test grubuyla geliştirilmiştir ve daha çeşitli bir popülasyondan örneklem alınarak iyileştirilebilir. Erişilebilirliği tartışırken öğrenciler, bir kullanıcının yazı tipi boyutlarını ve renklerini değiştirmesine izin vermenin, bir arayüzü yalnızca az gören kişiler için kullanılabilir hale getirmekle kalmayıp aynı zamanda parlak gün ışığında veya karanlık bir odada olmak gibi çeşitli durumlardaki kullanıcılara da fayda sağladığını fark edebilirler.;Bilişimin Etkileri;Kültür;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;P1.2 – Farklı kullanıcı ihtiyaçlarını dikkate alarak erişilebilir ve kullanılabilir ürün tasarlama;;
